id,GEOID,access,hoops,surface,lit,name,sport,leisure,city,lon,lat,neighborhood,income_q,LPA,median_household_income
way/1163851463,13121011416,,1,,,,basketball,pitch,Atlanta,-84.35598739999999,34.072474299999996,,Q4 (highest),14.6,151397.0
way/1193244892,13089021410,,,,,,basketball,pitch,Atlanta,-84.2958962,33.865187899999995,,Q3,24.8,102609.0
way/1193478726,13121012000,,,,,,basketball,pitch,Atlanta,-84.39789648132701,33.7361200748058,Mechanicsville,nan,40.5,
way/1205688848,13121010124,,,,,,basketball,pitch,Atlanta,-84.33893124786586,33.996668132529095,,Q3,21.1,85333.0
way/1205688849,13121010124,,,,,,basketball,pitch,Atlanta,-84.33907349999998,33.9966011,,Q3,21.1,85333.0
way/1205692233,13089021411,,,,,,basketball,pitch,Atlanta,-84.32545467009571,33.87565983854938,,Q4 (highest),10.3,133449.0
way/1206760146,13121011653,,,,,,basketball,pitch,Atlanta,-84.22073323658259,34.08262017221741,,Q4 (highest),13.4,237692.0
way/1209250825,13121000601,,,,,,basketball,pitch,Atlanta,-84.4003183,33.782136099999995,Home Park,Q2,16.1,78140.0
way/1210103448,13121011630,,,,,,basketball,pitch,Atlanta,-84.1955921531153,34.05664122198034,,Q4 (highest),13.2,167500.0
way/1211155489,13121008602,,,,,,basketball,pitch,Atlanta,-84.47758808198637,33.78746917467957,English Park,Q1 (lowest),35.5,42321.0
way/1211484169,13121006801,,,,,,basketball,pitch,Atlanta,-84.36936005,33.709861350000004,Chosewood Park,nan,43.1,
way/1218992486,13121006801,,,,,,basketball,pitch,Atlanta,-84.3643958,33.70867565000001,Chosewood Park,nan,43.1,
way/1219247220,13089023108,private,,,,,basketball,pitch,Atlanta,-84.22081322813425,33.74350816211277,,Q1 (lowest),34.3,36875.0
way/1219397155,13089022601,yes,2,,,,basketball,pitch,Atlanta,-84.29111624999999,33.78366355,,Q2,15.3,80000.0
way/1278997686,13089023101,,,,,,basketball,pitch,Atlanta,-84.27055321646075,33.7420021073792,,Q2,21.3,69297.0
way/1297699186,13121011648,,,,,,basketball,pitch,Atlanta,-84.16105527999541,34.03768248762729,,Q4 (highest),15.7,203375.0
way/1304730554,13121011445,,,,,,basketball,pitch,Atlanta,-84.37522196651301,34.04359427527433,,Q4 (highest),14.7,123836.0
way/1304730555,13121011445,,,,,,basketball,pitch,Atlanta,-84.37553498348673,34.04359762472867,,Q4 (highest),14.7,123836.0
way/1311352772,13121011650,,,,,,basketball,pitch,Atlanta,-84.24581795,34.058107,,Q4 (highest),14.6,201118.0
way/1311352805,13121011658,,,,,,basketball,pitch,Atlanta,-84.21832682046912,34.04125185709534,,Q4 (highest),19.7,152985.0
way/1311352837,13121011631,,,,,,basketball,pitch,Atlanta,-84.17267057799708,34.064238603241655,,Q3,15.2,114333.0
way/1318178229,13121011648,yes,,concrete,yes,,basketball,pitch,Atlanta,-84.1455102,34.03830235000001,,Q4 (highest),15.7,203375.0
way/1318178230,13121011648,yes,,concrete,yes,,basketball,pitch,Atlanta,-84.1452995,34.03838575,,Q4 (highest),15.7,203375.0
way/1359092876,13121009900,,,,,,basketball,pitch,Atlanta,-84.3941703,33.8568395,Tuxedo Park,Q4 (highest),12.5,141930.0
way/1367379325,13121011630,,2,,,,basketball,pitch,Atlanta,-84.19696289999999,34.056784099999994,,Q4 (highest),13.2,167500.0
way/1374328490,13121011202,,,,,,basketball,pitch,Atlanta,-84.44063474999999,33.6789895,,Q1 (lowest),27.7,56790.0
way/1390523639,13121011509,,,,,,basketball,pitch,Atlanta,-84.36687592536732,34.09444385909518,,Q4 (highest),14.4,243269.0
way/1392508690,13121011656,,,,,,basketball,pitch,Atlanta,-84.22645164654557,34.065549763735625,,Q4 (highest),12.8,186211.0
way/1393190239,13121011419,,,,,,basketball,pitch,Atlanta,-84.37952365000001,34.0486613,,Q4 (highest),15.4,155972.0
way/1394223825,13121010402,,,,,,basketball,pitch,Atlanta,-84.77009413812078,33.52744448952519,,Q2,25.6,75362.0
way/1394447909,13089021606,,,,,,basketball,pitch,Atlanta,-84.3171837,33.82419294999999,,Q3,13.7,107898.0
way/1394818177,13121010530,,,,,,basketball,pitch,Atlanta,-84.52676492023264,33.63145107536931,,Q1 (lowest),25.5,47763.0
way/1395378181,13089022900,permissive,2,,,,basketball,pitch,Atlanta,-84.27192104710826,33.76833684666208,,Q3,13.1,115327.0
way/1395889802,13121004100,,,,,,basketball,pitch,Atlanta,-84.43476205,33.74191895,West End,Q2,24.3,72354.0
way/1409791751,13089021412,yes,1,,,,basketball,pitch,Atlanta,-84.31068947580557,33.87125651396402,,Q4 (highest),11.6,220694.0
way/1416180209,13089023802,,,,,,basketball,pitch,Atlanta,-84.33500389215196,33.68549277090175,,Q2,25.2,71729.0
way/1416835245,13089023802,,,,,,basketball,pitch,Atlanta,-84.33579500908668,33.69073680139693,,Q2,25.2,71729.0
way/1416835250,13089023802,,,,,,basketball,pitch,Atlanta,-84.33512313479024,33.6901548489685,,Q2,25.2,71729.0
way/1416835259,13089023802,,,,,,basketball,pitch,Atlanta,-84.33662913373266,33.690394624880284,,Q2,25.2,71729.0
way/1416835261,13089023802,,,,,,basketball,pitch,Atlanta,-84.33600911090804,33.69033912105845,,Q2,25.2,71729.0
way/1416835267,13089023802,,,,,,basketball,pitch,Atlanta,-84.33570676950073,33.690067053178716,,Q2,25.2,71729.0
way/1422420793,13089023325,,,,,,basketball,pitch,Atlanta,-84.09827840955505,33.79113232882281,,Q3,22.3,91591.0
way/1426722837,13121010307,,,,,,basketball,pitch,Atlanta,-84.55985196708932,33.64163443361326,,Q4 (highest),23.0,130288.0
way/1428119796,13121000501,private,1,,,,basketball,pitch,Atlanta,-84.38903828371238,33.78942523711741,Atlantic Station,Q3,13.8,108940.0
way/1436770550,13121011652,,,,,,basketball,pitch,Atlanta,-84.24979325317217,34.08694772761727,,Q4 (highest),16.0,137500.0
way/1447171835,13121010519,,,,,,basketball,pitch,Atlanta,-84.5992473,33.57187385,,Q2,29.3,83152.0
