GEOID,NAMELSAD,neighborhood,court_count,courts_per_10k,courts_per_sqmi,median_household_income,income_q,total_population,pct_black,poverty_rate,LPA,OBESITY,MHLTH,area_sqmi,ALAND,city,has_court,lat,lon
17031050100,Census Tract 501,North Center,0,0.0,0.0,114063.0,Q4 (highest),2277,2.3276240667545016,3.60122968818621,12.7,25.9,14.5,0.12920291522586205,334634,Chicago,No court,41.957845127543536,-87.67637298529931
17031610800,Census Tract 6108,New City,0,0.0,0.0,125250.0,Q4 (highest),1572,0.0,10.031948881789138,22.0,29.1,16.4,0.12837781487790678,332497,Chicago,No court,41.812712007011505,-87.6384045714684
17031611300,Census Tract 6113,New City,0,0.0,0.0,48351.0,Q1 (lowest),3567,10.204653770675638,20.82982898794505,38.2,38.3,17.5,0.12626660818505722,327029,Chicago,No court,41.80493627476779,-87.66730385787689
17031611400,Census Tract 6114,New City,1,2.538715410002539,7.92969178155588,32056.0,Q1 (lowest),3939,0.02538715410002539,49.581111957349584,49.9,45.6,20.6,0.12610830629331102,326619,Chicago,Has court,41.80489295100371,-87.67216606768893
17031611500,Census Tract 6115,New City,0,0.0,0.0,42353.0,Q1 (lowest),3565,7.6016830294530155,21.525724423418097,43.7,40.3,18.1,0.1959205988599175,507432,Chicago,No court,41.80538195202902,-87.67873106836133
17031611900,Census Tract 6119,New City,3,17.554125219426567,12.688120630783777,39375.0,Q1 (lowest),1709,53.01345816266823,28.788765359859568,41.8,45.6,21.7,0.23644163602302404,612381,Chicago,Has court,41.797743083280515,-87.65982263907897
17031681200,Census Tract 6812,Englewood,0,0.0,0.0,23250.0,Q1 (lowest),2009,87.4066699850672,45.57721139430285,42.2,48.8,23.1,0.3068481398369413,794733,Chicago,No court,41.76918931180492,-87.638497580659
17031810302,Census Tract 8103.02,,0,0.0,0.0,121629.0,Q4 (highest),3233,16.20785648004949,4.209844559585492,16.4,27.7,12.5,0.30186510516651044,781827,Chicago,No court,42.02941300666556,-87.69471726492684
17031810400,Census Tract 8104,,0,0.0,0.0,148750.0,Q4 (highest),5692,0.8784258608573436,3.3907238229093464,16.4,26.0,13.1,0.8954670832451733,2319249,Chicago,No court,41.98757413486942,-87.82943868549637
17031672000,Census Tract 6720,Englewood,1,3.2679738562091503,2.6027623576513528,45192.0,Q1 (lowest),3060,77.97385620915033,21.016393442622952,37.0,42.9,19.5,0.3842071855159174,995092,Chicago,Has court,41.7611983245043,-87.67112812678796
