"Year","StateAbbr","StateDesc","CountyName","CountyFIPS","LocationName","DataSource","Category","Measure","Data_Value_Unit","Data_Value_Type","Data_Value","Data_Value_Footnote_Symbol","Data_Value_Footnote","Low_Confidence_Limit","High_Confidence_Limit","TotalPopulation","TotalPop18plus","Geolocation","LocationID","CategoryID","MeasureId","DataValueTypeID","Short_Question_Text"
"2023","IL","Illinois","Cook","17031","17031806005","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","75.6",,,"72.8","78.2","3,258","2,495","POINT (-87.8506827 42.0435347)","17031806005","PREVENT","CHECKUP","CrdPrv","Annual Checkup"
"2023","IL","Illinois","Cook","17031","17031801901","BRFSS","Health-Related Social Needs","Housing insecurity in the past 12 months among adults","%","Crude prevalence","9.1",,,"7.7","10.7","5,016","3,989","POINT (-87.8008408 42.094993)","17031801901","SOCLNEED","HOUSINSECU","CrdPrv","Housing Insecurity"
"2023","IL","Illinois","Cook","17031","17031802200","BRFSS","Health Outcomes","High blood pressure among adults","%","Crude prevalence","27.5",,,"24.9","30.0","4,848","3,727","POINT (-87.7881169 42.0729443)","17031802200","HLTHOUT","BPHIGH","CrdPrv","High Blood Pressure"
"2022","IL","Illinois","Cook","17031","17031809402","BRFSS","Prevention","Colorectal cancer screening among adults aged 45–75 years","%","Crude prevalence","61.8",,,"58.0","65.6","3,374","3,192","POINT (-87.6820289 42.0490312)","17031809402","PREVENT","COLON_SCREEN","CrdPrv","Colorectal Cancer Screening"
"2023","IL","Illinois","Cook","17031","17031809700","BRFSS","Disability","Self-care disability among adults","%","Crude prevalence","3.0",,,"2.6","3.6","3,714","2,807","POINT (-87.6999151 42.0374659)","17031809700","DISABLT","SELFCARE","CrdPrv","Self-care Disability"
"2023","IL","Illinois","Cook","17031","17031730100","BRFSS","Health Status","Frequent mental distress among adults","%","Crude prevalence","17.0",,,"14.7","19.4","2,462","1,973","POINT (-87.6384256 41.7251952)","17031730100","HLTHSTAT","MHLTH","CrdPrv","Frequent Mental Distress"
"2023","IL","Illinois","Cook","17031","17031770902","BRFSS","Health Risk Behaviors","Binge drinking among adults","%","Crude prevalence","19.2",,,"16.9","21.3","3,732","3,066","POINT (-87.8361806 41.9700602)","17031770902","RISKBEH","BINGE","CrdPrv","Binge Drinking"
"2023","IL","Illinois","Cook","17031","17031801607","BRFSS","Health-Related Social Needs","Food insecurity in the past 12 months among adults","%","Crude prevalence","7.7",,,"6.5","9.0","5,225","4,181","POINT (-87.8589238 42.089417)","17031801607","SOCLNEED","FOODINSECU","CrdPrv","Food Insecurity"
"2023","IL","Illinois","Cook","17031","17031812100","BRFSS","Disability","Self-care disability among adults","%","Crude prevalence","2.4",,,"2.1","2.8","4,763","3,413","POINT (-87.7798547 41.9025047)","17031812100","DISABLT","SELFCARE","CrdPrv","Self-care Disability"
"2023","IL","Illinois","Cook","17031","17031813900","BRFSS","Prevention","Taking medicine to control high blood pressure among adults with high blood pressure","%","Crude prevalence","69.7",,,"66.5","72.5","6,768","5,028","POINT (-87.768491 41.846501)","17031813900","PREVENT","BPMED","CrdPrv","High Blood Pressure Medication"
