"Year","StateAbbr","StateDesc","CountyName","CountyFIPS","LocationName","DataSource","Category","Measure","Data_Value_Unit","Data_Value_Type","Data_Value","Data_Value_Footnote_Symbol","Data_Value_Footnote","Low_Confidence_Limit","High_Confidence_Limit","TotalPopulation","TotalPop18plus","Geolocation","LocationID","CategoryID","MeasureId","DataValueTypeID","Short_Question_Text"
"2022","GA","Georgia","Fulton","13121","13121006602","BRFSS","Health Risk Behaviors","Short sleep duration among adults","%","Crude prevalence","55.1",,,"50.8","59.2","1,050","766","POINT (-84.4286682 33.7186263)","13121006602","RISKBEH","SLEEP","CrdPrv","Short Sleep Duration"
"2022","GA","Georgia","Fulton","13121","13121010213","BRFSS","Prevention","Colorectal cancer screening among adults aged 45–75 years","%","Crude prevalence","69.0",,,"65.0","72.9","1,113","930","POINT (-84.3754413 33.9661694)","13121010213","PREVENT","COLON_SCREEN","CrdPrv","Colorectal Cancer Screening"
"2023","GA","Georgia","Fulton","13121","13121009501","BRFSS","Health Outcomes","High blood pressure among adults","%","Crude prevalence","33.1",,,"30.0","36.5","4,580","3,752","POINT (-84.3962959 33.830825)","13121009501","HLTHOUT","BPHIGH","CrdPrv","High Blood Pressure"
"2023","GA","Georgia","Fulton","13121","13121008701","BRFSS","Health Outcomes","Current asthma among adults","%","Crude prevalence","12.1",,,"10.7","13.6","3,333","2,454","POINT (-84.4727831 33.7999736)","13121008701","HLTHOUT","CASTHMA","CrdPrv","Current Asthma"
"2022","GA","Georgia","Fulton","13121","13121009105","BRFSS","Prevention","Visited dentist or dental clinic in the past year among adults","%","Crude prevalence","80.8",,,"78.7","82.9","1,220","912","POINT (-84.3887486 33.8065389)","13121009105","PREVENT","DENTAL","CrdPrv","Dental Visit"
"2023","GA","Georgia","Fulton","13121","13121006000","BRFSS","Health Status","Fair or poor self-rated health status among adults","%","Crude prevalence","27.4",,,"23.6","31.6","3,140","2,584","POINT (-84.439035 33.7379429)","13121006000","HLTHSTAT","GHLTH","CrdPrv","General Health"
"2023","GA","Georgia","Fulton","13121","13121010204","BRFSS","Disability","Self-care disability among adults","%","Crude prevalence","2.0",,,"1.7","2.5","5,113","3,779","POINT (-84.420917 33.9220502)","13121010204","DISABLT","SELFCARE","CrdPrv","Self-care Disability"
"2022","GA","Georgia","Fulton","13121","13121010007","BRFSS","Prevention","Visited dentist or dental clinic in the past year among adults","%","Crude prevalence","76.1",,,"73.7","78.4","1,914","1,585","POINT (-84.3571428 33.8591224)","13121010007","PREVENT","DENTAL","CrdPrv","Dental Visit"
"2022","GA","Georgia","Fulton","13121","13121005800","BRFSS","Health Outcomes","All teeth lost among adults aged >=65 years","%","Crude prevalence","13.4",,,"11.1","15.9","1,528","1,274","POINT (-84.4105985 33.731861)","13121005800","HLTHOUT","TEETHLOST","CrdPrv","All Teeth Lost"
"2023","GA","Georgia","Fulton","13121","13121009203","BRFSS","Health Outcomes","Diagnosed diabetes among adults","%","Crude prevalence","6.9",,,"6.0","7.9","2,762","2,469","POINT (-84.3581245 33.8152145)","13121009203","HLTHOUT","DIABETES","CrdPrv","Diabetes"
